question,answer_0,answer_1,answer_2,answer_3,label
"Jurassic Park, Dances with Wolves, The Silence of the Lambs, Seven:",Love and Other Disasters,Tigerland,Braveheart,"I Love You, Man",2
"Jurassic Park, The Silence of the Lambs, Schindler's List, Braveheart:",A Hard Day's Night,Showtime,Forrest Gump,Eddie the Eagle,2
"Forrest Gump, The Silence of the Lambs, Fargo, Seven:",Schindler's List,The Diary of Anne Frank,Cleanskin,Boy,0
"Braveheart, Schindler's List, The Silence of the Lambs, Jurassic Park:",Independence Day,Broken,Toy Story 2,Men of Honor,0
"Forrest Gump, The Fugitive, Independence Day, Fargo:",Comic-Con Episode IV A Fan's Hope,Harley Davidson and the Marlboro Man,Heat,Scratch,2
"The Silence of the Lambs, Forrest Gump, Batman, The Usual Suspects:",Doctor Who Voyage Of The Damned,Jurassic Park,28 Up,Golmaal,1
"Star Wars Episode VI - Return of the Jedi, The Silence of the Lambs, Forrest Gump, Jurassic Park:",Beethoven,Mission Impossible,Hairspray,Shampoo,1
"Forrest Gump, Star Wars Episode VI - Return of the Jedi, Back to the Future, Independence Day:","The Goods Live Hard, Sell Hard",American Beauty,Jonah Hex,Captain America,1
"The Usual Suspects, Star Wars Episode IV - A New Hope, The Silence of the Lambs, Forrest Gump:",And God Created Woman,Apocalypse Now,Obsession,Penny Serenade,1
"The Terminator, The Silence of the Lambs, Batman, Independence Day:",Up in the Air,Trailer Park Boys,Jurassic Park,Two Mules for Sister Sara,2
"Independence Day, Back to the Future, Star Wars Episode VI - Return of the Jedi, Toy Story:",LA Confidential,Too Many Cooks,Rocky Balboa,Max Keeble's Big Move,0
"LA Confidential, Star Wars Episode IV - A New Hope, Mission Impossible, Austin Powers International Man of Mystery:",Once Were Warriors,Dogfight,New Waterford Girl,Superman,3
"X-Men, Planet of the Apes, Forrest Gump, Independence Day:",The Terminator,Remember Me,Train to Busan,Fast & Furious,0
"Forrest Gump, The Silence of the Lambs, The Usual Suspects, The Blues Brothers:",From Hell,The Insider,Independence Day,Bride of Chucky,2
"Mission Impossible, Austin Powers International Man of Mystery, The Silence of the Lambs, Star Wars Episode V - The Empire Strikes Back:",Insomnia,American Beauty,Above the Rim,The Family Man,1
"American Beauty, Austin Powers International Man of Mystery, Star Wars Episode V - The Empire Strikes Back, Mission Impossible:",Dragon Ball The Curse Of The Blood Rubies,Moonlight Mile,Hollywood Homicide,Star Wars Episode IV - A New Hope,3
"Independence Day, The Silence of the Lambs, Batman, Jurassic Park:",Forrest Gump,American Flyers,Shadows and Fog,Thunderbirds,0
"Batman, The Silence of the Lambs, Jurassic Park, Independence Day:",The Sessions,The Girl Who Kicked the Hornet's Nest,Forrest Gump,Before Night Falls,2
"Batman, Jurassic Park, The Silence of the Lambs, Forrest Gump:",The Usual Suspects,Playing the Victim,The OA,"Kiss Me, Guido",0
"Forrest Gump, The Silence of the Lambs, Mission Impossible, Jurassic Park:",Joe Somebody,Dogfight,Independence Day,Twin Peaks Fire Walk with Me,2
"The Terminator, Star Wars Episode VI - Return of the Jedi, Forrest Gump, Star Wars Episode IV - A New Hope:",Independence Day,The Human Condition III,The Lifeguard,Secretary,0
"American Beauty, Star Wars Episode IV - A New Hope, Star Wars Episode V - The Empire Strikes Back, Forrest Gump:",Cargo,Neon Bull,Jeffrey,The Silence of the Lambs,3
"Jurassic Park, The Silence of the Lambs, Batman, American Beauty:",Night of the Living Dead,Forrest Gump,Ghost Ship,Revenge for Jolly!,1
"Rocky, Star Wars Episode IV - A New Hope, Toy Story, The Terminator:",Dracula Dead and Loving It,Independence Day,The Extraordinary Adventures of Adèle Blanc-Sec,The American President,1
"Star Wars Episode IV - A New Hope, Superman, The Terminator, American Beauty:",Opera,Austin Powers International Man of Mystery,Highlander The Search for Vengeance,Supergirl,1
"The Terminator, Toy Story, Jurassic Park, Independence Day:",Forrest Gump,Trapped in Paradise,Disturbia,Gremlins 2 The New Batch,0
"The Blues Brothers, The Usual Suspects, Forrest Gump, The Silence of the Lambs:",Independence Day,A Place in the Sun,Son in Law,Hot Tub Time Machine,0
"Batman, The Usual Suspects, The Silence of the Lambs, Jurassic Park:",The End of the Tour,Forrest Gump,"Lust, Caution",Shelter,1
"Star Wars Episode VI - Return of the Jedi, Jurassic Park, Independence Day, The Silence of the Lambs:",Let It Ride,"Bobby Jones, Stroke of Genius",Forrest Gump,My Own Private Idaho,2
"Jurassic Park, Mission Impossible, The Silence of the Lambs, Forrest Gump:",Indignation,Star Wars Episode VI - Return of the Jedi,You'll Never Get Rich,Amazon Women on the Moon,1
"Jurassic Park, Forrest Gump, Independence Day, Mission Impossible:",The Godfather Trilogy 1972-1990,Star Wars Episode VI - Return of the Jedi,Halloween II,Alice Through the Looking Glass,1
"Independence Day, Star Wars Episode V - The Empire Strikes Back, American Beauty, Star Wars Episode VI - Return of the Jedi:",Frankenweenie,Ivan Vasilievich Back to the Future,We Bought a Zoo,Star Wars Episode IV - A New Hope,3
"Forrest Gump, Star Wars Episode IV - A New Hope, Back to the Future, Star Wars Episode VI - Return of the Jedi:",The Apple,Independence Day,Boiling Point,Car Wash,1
"American Beauty, Back to the Future, Star Wars Episode IV - A New Hope, Star Wars Episode V - The Empire Strikes Back:",Jon Stewart Has Left the Building,Hud,The Mummy Tomb of the Dragon Emperor,The Terminator,3
"Star Wars Episode IV - A New Hope, Independence Day, Star Wars Episode VI - Return of the Jedi, Forrest Gump:",The Terminator,The International,Jeffrey,Shoot 'Em Up,0
"American Beauty, Forrest Gump, The Usual Suspects, The Silence of the Lambs:",Kong Skull Island,Star Wars Episode IV - A New Hope,Three Men and a Little Lady,Scream,1
"Star Wars Episode IV - A New Hope, Forrest Gump, The Silence of the Lambs, The Usual Suspects:",Tideland,LEGO DC Super Hero Girls Brain Drain,Asterix at the Olympic Games,Apocalypse Now,3
"Jurassic Park, The Silence of the Lambs, Forrest Gump, Star Wars Episode IV - A New Hope:",Venus in Fur,Dummy,Back to the Future,The Rink,2
"American Beauty, The Terminator, Toy Story, Star Wars Episode V - The Empire Strikes Back:",Wild Wild West,Dirty Pretty Things,Logan Lucky,Batman,3
"Batman, The Terminator, Star Wars Episode VI - Return of the Jedi, Star Wars Episode IV - A New Hope:",Haywire,Star Wars Episode V - The Empire Strikes Back,Our Town,Intolerable Cruelty,1
"Mission Impossible, Back to the Future, Star Wars Episode VI - Return of the Jedi, X-Men:",My Neighbor Totoro,Hang 'Em High,They Came Together,Toy Story,3
"Star Wars Episode V - The Empire Strikes Back, Mission Impossible, Back to the Future, X-Men:",Stay Tuned,Star Wars Episode IV - A New Hope,Agora,The Forgotten Space,1
"The Terminator, Star Wars Episode V - The Empire Strikes Back, Batman, Mission Impossible:",The Ridiculous 6,Shadows and Fog,Star Wars Episode IV - A New Hope,Akira Kurosawa's Dreams,2
"Braveheart, The Silence of the Lambs, Jurassic Park, Forrest Gump:",Black Panther,The Fugitive,Outrageous Fortune,Yogi Bear,1
"Dances with Wolves, Dumb & Dumber, Seven, Braveheart:",Sunset Blvd,Pulp Fiction,Children of the Corn II The Final Sacrifice,The Great Yokai War,1
"The Silence of the Lambs, Schindler's List, The Usual Suspects, Seven:",Blame It on the Bellboy,Forrest Gump,Barcelona,Frank,1
"The Big Lebowski, Star Wars Episode VI - Return of the Jedi, The Terminator, Star Wars Episode IV - A New Hope:",OT Our Town,Hocus Pocus,Seven,Lovely & Amazing,2
"Forrest Gump, Star Wars Episode VI - Return of the Jedi, Back to the Future, The Matrix:",Out of the Past,Sleeping with the Enemy,Independence Day,Ghost in the Shell Arise - Border 2 Ghost Whispers,2
"Reservoir Dogs, Goodfellas, The Usual Suspects, A Clockwork Orange:",London,The Big Chill,Casablanca,Pulp Fiction,3
"Saving Private Ryan, Pulp Fiction, The Matrix, The Green Mile:",Music From Another Room,Hotel Transylvania 2,The 400 Blows,Raiders of the Lost Ark,3
"Saving Private Ryan, Raiders of the Lost Ark, The Matrix, Star Wars Episode IV - A New Hope:",Schindler's List,Juice,Furious 7,Gone Baby Gone,0
"Back to the Future, Raiders of the Lost Ark, The Matrix, The Terminator:","What's Up, Tiger Lily",Cave of Forgotten Dreams,Batman,Quatermass and the Pit,2
"Raiders of the Lost Ark, Forrest Gump, The Matrix, Pulp Fiction:",The Remains of the Day,Independence Day,Our Idiot Brother,Zelary,1
"Back to the Future Part III, Seven, Star Wars Episode VI - Return of the Jedi, LA Confidential:",Wild Things,Polytechnique,Marvel One-Shot Agent Carter,Wicked City,0
"The Terminator, Wayne's World, Star Wars Episode V - The Empire Strikes Back, Indiana Jones and the Temple of Doom:",Nixon,The Pink Panther,The Pawnbroker,Raiders of the Lost Ark,3
"A Clockwork Orange, The Usual Suspects, Monty Python's Life of Brian, Lock, Stock & Two Smoking Barrels:",The Last King of Scotland,Hot Shots! Part Deux,Daddy Day Camp,Citizen Kane,3
"Independence Day, The Silence of the Lambs, Indiana Jones and the Temple of Doom, Fargo:",Care Bears Movie II A New Generation,Noises Off,The Fugitive,Lights Out,2
"Gladiator, Raiders of the Lost Ark, Schindler's List, Saving Private Ryan:",The Matrix,Scorpio,"Oh, Hello On Broadway",The Prophecy,0
"Monty Python and the Holy Grail, The Silence of the Lambs, Star Wars Episode V - The Empire Strikes Back, Star Wars Episode IV - A New Hope:",Child's Play 3,Some Kind of Wonderful,Goodfellas,Chocolat,2
"Goodfellas, The Big Lebowski, Raiders of the Lost Ark, The Silence of the Lambs:",Doctor Dolittle,Pi,House Party 3,Star Wars Episode IV - A New Hope,3
"The Fugitive, Monty Python and the Holy Grail, Goodfellas, Star Wars Episode IV - A New Hope:","I, Robot",Cookie's Fortune,Being John Malkovich,Behind Enemy Lines,2
"Indiana Jones and the Last Crusade, Being John Malkovich, The Fugitive, Star Wars Episode V - The Empire Strikes Back:",Paycheck,Ghost Graduation,Raiders of the Lost Ark,Late Night Shopping,2
"Mission Impossible, Raiders of the Lost Ark, Star Wars Episode V - The Empire Strikes Back, Indiana Jones and the Last Crusade:","What's Up, Doc",Star Wars Episode IV - A New Hope,Being There,Stagecoach,1
"Men in Black, Raiders of the Lost Ark, The Fugitive, Fargo:",The Rebound,Armour of God,The Silence of the Lambs,The Abominable Dr Phibes,2
"Terminator 2 Judgment Day, Schindler's List, The Lion King, The Shawshank Redemption:",The Do-Over,Tomboy,Aladdin,A Fistful of Dollars,2
"Braveheart, Dances with Wolves, Apollo 13, Batman:",Conquest of the Planet of the Apes,The Garden of Words,Terminator 2 Judgment Day,Batman Mystery of the Batwoman,2
"The Fugitive, The Shawshank Redemption, Beauty and the Beast, Schindler's List:",The Lion King,Urban Cowboy,Space Truckers,Universal Soldier Day of Reckoning,0
"The Mask, In the Line of Fire, Interview with the Vampire The Vampire Chronicles, Batman:",Infernal Affairs,Paul,The Art of War,Aladdin,3
"Snow White and the Seven Dwarfs, The Secret Garden, Beauty and the Beast, The Lion King:",The Thing,Pinocchio,Nymphomaniac Volume I,Lights in the Dusk,1
"The Mask, Aladdin, The Lion King, Pretty Woman:",Ordinary Miracle,"Three Billboards Outside Ebbing, Missouri",In the Mood For Love,Batman,3
"Braveheart, The Fugitive, The Mask, Schindler's List:",Interstate 60,Primary Colors,Careful What You Wish For,The Shawshank Redemption,3
"Clear and Present Danger, In the Line of Fire, The Fugitive, Braveheart:",Three to Tango,Choke,"Angel at My Table, An",The Shawshank Redemption,3
"Pretty Woman, Schindler's List, The Shawshank Redemption, Apollo 13:",In July,Black Snake Moan,Dances with Wolves,Heartbreaker,2
"Schindler's List, The Shawshank Redemption, Terminator 2 Judgment Day, The Lion King:",The Red Turtle,Tarzan,Nothing But Trouble,Aladdin,3
"Dances with Wolves, The Shawshank Redemption, Apollo 13, Schindler's List:",Braveheart,Popeye,House II The Second Story,In China They Eat Dogs,0
"Aladdin, Fargo, Schindler's List, Braveheart:",The Fugitive,End of Watch,Live Free or Die Hard,Eddie Murphy Raw,0
"Aladdin, The Lion King, Terminator 2 Judgment Day, Batman:",The Mummy,Narc,Fright Night,Pretty Woman,3
"Babe, The Secret Garden, The Lion King, Pinocchio:",The Hairdresser's Husband,Snow White and the Seven Dwarfs,Things You Can Tell Just by Looking at Her,Princess Caraboo,1
"Aladdin, Terminator 2 Judgment Day, Batman, The Mask:",WarGames,King Kong,Foreign Correspondent,Pretty Woman,3
"Schindler's List, Apollo 13, The Shawshank Redemption, Pretty Woman:",Goal! The Dream Begins,The Break-Up,Sherlock Holmes The Woman in Green,Braveheart,3
"Apollo 13, Batman, Dances with Wolves, Braveheart:",Schindler's List,Crimes and Misdemeanors,King Kong,Gorillas in the Mist,0
"Dances with Wolves, The Lion King, The Fugitive, The Shawshank Redemption:",Schindler's List,Day for Night,Man of the House,The Neon Demon,0
"Batman, Interview with the Vampire The Vampire Chronicles, The Mask, Pretty Woman:",Bright,Babe,Unicorn City,Zoom,1
"Terminator 2 Judgment Day, The Fugitive, The Shawshank Redemption, Dead Man Walking:","Walk, Don't Run",Shaun the Sheep Movie,Rocky IV,Braveheart,3
"The Shawshank Redemption, Braveheart, Apollo 13, Schindler's List:",Cell 211,Jarhead,Boys Town,Dances with Wolves,3
"Schindler's List, The Shawshank Redemption, Terminator 2 Judgment Day, Aladdin:",The Double Life of Veronique,Bridget Jones's Diary,The Lion King,Cujo,2
"Schindler's List, The Shawshank Redemption, Terminator 2 Judgment Day, Dances with Wolves:",Braveheart,800 Bullets,DOA,Reindeer Games,0
"Pretty Woman, Aladdin, The Lion King, Batman:",Terminator 2 Judgment Day,"Everlasting Piece, An",Cloverfield,The Last Temptation of Christ,0
"The Shawshank Redemption, Pretty Woman, Braveheart, Clueless:",The Beat That My Heart Skipped,Pulp Fiction,Crash,The Private Life of Sherlock Holmes,1
"Batman, Pulp Fiction, Apollo 13, Schindler's List:",The Last Kiss,Europa,Braveheart,Rise of the Planet of the Apes,2
"The Lion King, The Fugitive, Schindler's List, The Shawshank Redemption:",The Art of the Steal,Pulp Fiction,Battlestar Galactica The Plan,Breakin' All the Rules,1
"Batman, The Mask, The Fugitive, Pretty Woman:",The Front Page,Maelstrom,The Lion King,Lamerica,2
"The Lion King, Pretty Woman, Pulp Fiction, Batman:",Sex and the City 2,Under the Sand,The Mask,National Lampoon's Senior Trip,2
"Interview with the Vampire The Vampire Chronicles, The Shawshank Redemption, The Fugitive, The Usual Suspects:",Pulp Fiction,The Devil's Own,Love and Other Catastrophes,"Mesrine Public Enemy #1",0
"Interview with the Vampire The Vampire Chronicles, The Lion King, Braveheart, The Shawshank Redemption:",Dances with Wolves,The Killer Shrews,Uptown Girls,The Den,0
"Apollo 13, Schindler's List, Pretty Woman, Braveheart:",The Fly,Metropia,"Ciao, Professore!",Dances with Wolves,3
"Apollo 13, Batman, Schindler's List, Braveheart:",Tyler Perry's Daddy's Little Girls,Titanic,The Shawshank Redemption,Adanggaman,2
"The Lion King, Dances with Wolves, Braveheart, Schindler's List:",Pickup on South Street,Poltergeist III,Crush,The Shawshank Redemption,3
"The Fugitive, Interview with the Vampire The Vampire Chronicles, The Mask, The Lion King:",Babe,The House,Saving Santa,Experimenter,0
"The Shawshank Redemption, Clueless, Pulp Fiction, Dances with Wolves:",Let Me In,Schindler's List,The Last Castle,The Treasure of the Sierra Madre,1
"Dances with Wolves, Pulp Fiction, Apollo 13, Schindler's List:",Pokémon Heroes,The Usual Suspects,Mars Needs Moms,Samurai Rebellion,1
"The Usual Suspects, Braveheart, Dances with Wolves, Pulp Fiction:",Shake Hands with the Devil,Fanny and Alexander,The Fugitive,Robin Hood,2
"Batman, The Mask, The Lion King, Pretty Woman:",Los Angeles Plays Itself,Gintama The Final Chapter - Be Forever Yorozuya,Doctor Who Last Christmas,The Fugitive,3
"Pretty Woman, The Mask, Pulp Fiction, The Lion King:",The Eyes of Tammy Faye,Hollywoodland,Snow White and the Huntsman,Batman,3
"The Usual Suspects, Interview with the Vampire The Vampire Chronicles, The Shawshank Redemption, Pulp Fiction:",Toy Soldiers,The Fugitive,The Wasp Woman,Baxter,1
"Pulp Fiction, Schindler's List, Apollo 13, Dances with Wolves:",Iron Eagle IV,The Shawshank Redemption,Knockin' on Heaven's Door,Aguirre The Wrath of God,1
"Dances with Wolves, Pulp Fiction, Schindler's List, The Shawshank Redemption:",Sound of the Mountain,Braveheart,Ruby Red,Candleshoe,1
"The Usual Suspects, Braveheart, Pulp Fiction, Schindler's List:",The Cabinet of Dr Caligari,The Shawshank Redemption,Spider-Man 2,Taxi,1
"Dead Man Walking, Terminator 2 Judgment Day, The Shawshank Redemption, The Fugitive:",King of New York,Field of Dreams,The General,Braveheart,3
"The Shawshank Redemption, Apollo 13, Terminator 2 Judgment Day, Dead Man Walking:",Frankenstein Unbound,Jon Stewart Has Left the Building,Clear and Present Danger,Little Giants,2
"Dead Man Walking, Terminator 2 Judgment Day, The Fugitive, Braveheart:",The Shawshank Redemption,Private Benjamin,Star Wars Episode III - Revenge of the Sith,Session 9,0
